TotalChans=3
ModelNumber=HPHT
SerialNumber=E139
VersionNumber=900
CalibrationDate=08/08/2011
MaximumPressure=16000
LinearAdjustment=1.03
LinearOffset=1.0
CalibrationSampleRate=4
CurrentSampleRate=16
[Data]
POR, 44229.57987112, 16
8.4724, 0.0000, 130.0646,
8.4450, 0.0000, 130.5405,
8.4519, 0.0000, 131.0021,
8.5202, 0.0000, 131.4462,
8.5769, 0.0000, 131.8739,
8.5935, 0.0000, 132.2850,
8.5974, 0.0000, 132.6823,
8.5798, 0.0000, 133.0667,
8.5622, 0.0000, 133.4390,
8.6638, 0.0000, 133.7964,
8.6931, 0.0000, 134.1399,
8.7478, 0.0000, 134.4699,
8.7732, 0.0000, 134.7866,
8.7556, 0.0000, 135.0902,
8.6931, 0.0000, 135.3858,
8.7341, 0.0000, 135.6719,
8.7624, 0.0000, 135.9452,
8.7859, 0.0000, 136.2093,
8.7820, 0.0000, 136.4642,
8.8230, 0.0000, 136.7113,
8.8474, 0.0000, 136.9485,
8.8318, 0.0000, 137.1773,
8.8074, 0.0000, 137.3993,
8.8669, 0.0000, 137.6140,
8.9314, 0.0000, 137.8197,
8.9421, 0.0000, 138.0191,
8.9763, 0.0000, 138.2092,
8.9558, 0.0000, 138.3930,
8.9245, 0.0000, 138.5714,
8.9382, 0.0000, 138.7430,
8.9743, 0.0000, 138.9059,
8.9704, 0.0000, 139.0630,
8.9782, 0.0000, 139.2133,
8.9519, 0.0000, 139.3616,
8.9870, 0.0000, 139.5050,
9.0339, 0.0000, 139.6415,
9.0613, 0.0000, 139.7720,
9.0115, 0.0000, 139.8983,
9.0398, 0.0000, 140.0202,
8.9704, 0.0000, 140.1383,
9.0241, 0.0000, 140.2527,
9.0681, 0.0000, 140.3615,
9.0779, 0.0000, 140.4657,
8.9890, 0.0000, 140.5689,
8.9988, 0.0000, 140.6700,
9.0105, 0.0000, 140.7683,
9.0339, 0.0000, 140.8627,
9.0398, 0.0000, 140.9543,
9.1042, 0.0000, 141.0405,
9.0896, 0.0000, 141.1238,
9.0954, 0.0000, 141.2058,
9.1013, 0.0000, 141.2836,
9.1032, 0.0000, 141.3579,
9.0671, 0.0000, 141.4315,
9.0574, 0.0000, 141.5038,
9.0593, 0.0000, 141.5722,
9.0505, 0.0000, 141.6391,
9.1072, 0.0000, 141.7048,
9.0925, 0.0000, 141.7669,
9.0632, 0.0000, 141.8287,
9.0847, 0.0000, 141.8896,
9.0876, 0.0000, 141.9478,
9.0759, 0.0000, 142.0055,
9.1101, 0.0000, 142.0612,
9.1218, 0.0000, 142.1149,
9.1208, 0.0000, 142.1676,
9.1296, 0.0000, 142.2168,
9.1101, 0.0000, 142.2660,
9.1140, 0.0000, 142.3139,
9.1296, 0.0000, 142.3591,
9.1501, 0.0000, 142.4029,
9.1570, 0.0000, 142.4453,
9.1853, 0.0000, 142.4851,
9.1726, 0.0000, 142.5254,
9.1657, 0.0000, 142.5633,
9.1111, 0.0000, 142.6006,
9.1394, 0.0000, 142.6370,
9.1003, 0.0000, 142.6714,
9.1335, 0.0000, 142.7065,
9.1423, 0.0000, 142.7386,
9.1609, 0.0000, 142.7697,
9.1814, 0.0000, 142.7994,
9.1589, 0.0000, 142.8300,
9.1179, 0.0000, 142.8603,
9.1716, 0.0000, 142.8887,
9.1472, 0.0000, 142.9171,
9.1247, 0.0000, 142.9453,
9.1579, 0.0000, 142.9723,
9.2077, 0.0000, 142.9964,
9.2253, 0.0000, 143.0191,
9.2419, 0.0000, 143.0410,
9.2185, 0.0000, 143.0626,
9.1413, 0.0000, 143.0867,
9.1325, 0.0000, 143.1095,
9.1579, 0.0000, 143.1324,
9.1462, 0.0000, 143.1552,
9.1189, 0.0000, 143.1793,
9.1101, 0.0000, 143.2000,
9.1072, 0.0000, 143.2225,
9.1208, 0.0000, 143.2431,
9.1062, 0.0000, 143.2640,
9.1081, 0.0000, 143.2835,
9.0827, 0.0000, 143.3040,
9.1042, 0.0000, 143.3241,
9.0779, 0.0000, 143.3405,
9.0613, 0.0000, 143.3572,
9.0759, 0.0000, 143.3733,
9.0505, 0.0000, 143.3882,
9.0515, 0.0000, 143.4034,
9.0759, 0.0000, 143.4169,
9.0730, 0.0000, 143.4314,
9.0583, 0.0000, 143.4457,
9.0427, 0.0000, 143.4603,
9.0398, 0.0000, 143.4753,
9.0515, 0.0000, 143.4885,
9.0642, 0.0000, 143.5006,
9.0329, 0.0000, 143.5132,
9.0261, 0.0000, 143.5263,
9.0144, 0.0000, 143.5384,
9.0525, 0.0000, 143.5509,
9.0271, 0.0000, 143.5635,
9.0437, 0.0000, 143.5753,
9.0437, 0.0000, 143.5862,
9.0554, 0.0000, 143.5963,
9.0515, 0.0000, 143.6068,
9.0447, 0.0000, 143.6161,
9.0085, 0.0000, 143.6282,
9.0378, 0.0000, 143.6386,
9.0222, 0.0000, 143.6466,
9.0134, 0.0000, 143.6563,
9.0202, 0.0000, 143.6658,
9.0359, 0.0000, 143.6753,
8.9890, 0.0000, 143.6846,
9.0066, 0.0000, 143.6940,
8.9939, 0.0000, 143.7034,
8.9851, 0.0000, 143.7126,
8.9831, 0.0000, 143.7216,
8.9558, 0.0000, 143.7314,
8.9255, 0.0000, 143.7408,
8.9597, 0.0000, 143.7493,
8.9441, 0.0000, 143.7573,
8.9490, 0.0000, 143.7659,
8.9597, 0.0000, 143.7729,
8.9265, 0.0000, 143.7801,
8.9148, 0.0000, 143.7873,
8.9197, 0.0000, 143.7951,
8.9392, 0.0000, 143.8029,
8.9343, 0.0000, 143.8089,
8.9226, 0.0000, 143.8165,
8.9353, 0.0000, 143.8239,
8.9118, 0.0000, 143.8305,
8.9265, 0.0000, 143.8369,
8.9079, 0.0000, 143.8424,
8.8943, 0.0000, 143.8492,
8.9040, 0.0000, 143.8549,
8.9187, 0.0000, 143.8620,
8.9138, 0.0000, 143.8688,
8.9021, 0.0000, 143.8763,
8.9128, 0.0000, 143.8840,
8.9031, 0.0000, 143.8901,
8.9245, 0.0000, 143.8959,
8.8825, 0.0000, 143.9023,
8.8806, 0.0000, 143.9091,
8.8855, 0.0000, 143.9136,
8.8708, 0.0000, 143.9191,
8.8699, 0.0000, 143.9232,
8.8513, 0.0000, 143.9276,
8.8064, 0.0000, 143.9330,
8.8093, 0.0000, 143.9381,
8.8161, 0.0000, 143.9434,
8.7966, 0.0000, 143.9480,
8.8054, 0.0000, 143.9525,
8.8132, 0.0000, 143.9568,
8.8298, 0.0000, 143.9602,
